indicator_id,title,category,ml_tf_stage,plain_english_explanation,ocg_relevance,applicable_tables,required_fields,how_to_use,feature_ideas,caveats_false_positives,external_enrichment_needed,source_ids,last_updated
ABM_CASH_001,Cash structuring/smurfing via ABM (many small cash txns),Cash/ABM,Placement,"Many small cash deposits/withdrawals in a short period, often clustered near reporting/monitoring thresholds, can indicate structuring (smurfing).",Common placement method used by OCGs and professional money launderers to avoid detection thresholds.,abm.csv,"customer_id,amount_cad,debit_credit,transaction_datetime,cash_indicator,province,city,country",Compute cash transaction counts/sums in rolling windows; flag unusually high frequency + amounts concentrated just below a threshold or unusually repetitive.,"cash_txn_count_1d/7d/30d;cash_sum_1d/7d/30d;pct_amt_in_band_[0.8T,1.0T);amount_entropy;mode_amount_ratio",Cash-intensive legitimate activity; payroll cash handling; holidays/events.,,S_FINTRAC_IND_FE|S_FFIEC_APP_F,2025-12-24
ABM_CASH_002,Near-threshold cash banding (amounts repeatedly just below T),Cash/ABM,Placement,Repeated cash transactions narrowly below a monitoring threshold may suggest deliberate threshold avoidance.,OCGs and money laundering facilitators may standardize ticket sizes to evade rules.,abm.csv,"customer_id,amount_cad,transaction_datetime,cash_indicator,debit_credit","Define one or more thresholds T; compute share of cash amounts within [0.8T,1.0T); flag high concentration and repetition.",pct_in_band;band_txn_count;band_streaks;std_amounts,Some businesses use consistent deposit tickets; ATM limits may shape amounts.,Choose thresholds relevant to your institution/regime.,S_FFIEC_APP_F|S_FINTRAC_IND_FE,2025-12-24
ABM_CASH_003,Round-dollar cash pattern (excessive round deposits/withdrawals),Cash/ABM,Placement,"Unusually frequent round-dollar cash amounts (e.g., multiples of 100/1000) can indicate non-organic cash handling.",OCG cash often comes in packaged denominations; fronts may report rounded deposits.,abm.csv,"customer_id,amount_cad,transaction_datetime,cash_indicator",Compute pct_round_dollar among cash transactions; flag outliers vs customer baseline and peer group.,pct_round_10/100/1000;round_streaks;peer_outlier_score,Legitimate cash businesses often deposit round numbers.,,S_FINTRAC_IND_FE|S_FFIEC_APP_F,2025-12-24
ABM_CASH_004,Cash deposit → rapid outbound transfers (cash-to-electronic sequencing),Cross-channel,Layering,"Cash is deposited and then quickly moved out via electronic channels, reducing the chance of tracing the cash source.",Layering tactic seen in professional laundering to distance cash from origin quickly.,abm.csv + eft.csv/emt.csv/wire.csv,"customer_id,amount_cad,debit_credit,transaction_datetime,cash_indicator",Identify sequences: ABM cash credit followed by outbound EFT/EMT/Wire within N hours; count and score sequence intensity.,cash_to_outbound_seq_6h/24h;avg_lag_cash_to_outbound;seq_amount_similarity,Legitimate cash deposit followed by bill payments; business cash management.,,S_FATF_PML_2018|S_FFIEC_APP_F|S_FINTRAC_IND_FE,2025-12-24
ABM_CASH_005,Inbound electronic credit → rapid cash withdrawal (cash-out),Cash/ABM,Layering,"Funds arrive electronically and are quickly withdrawn as cash, consistent with mule cash-out behavior.",OCGs often rely on mules to withdraw and disperse funds rapidly.,abm.csv + eft.csv/emt.csv/wire.csv,"customer_id,amount_cad,debit_credit,transaction_datetime,cash_indicator",Detect credit→cash sequences: any EFT/EMT/Wire credit followed by ABM cash debit within N hours; flag high frequency.,credit_to_cash_seq_6h/24h;median_lag_credit_to_cash;cash_out_share,Legitimate salary withdrawal; travel.,,S_FFIEC_APP_F|S_FATF_PML_2018,2025-12-24
ABM_CASH_006,Cash churn (alternating deposits and withdrawals),Cash/ABM,Layering,Frequent alternating cash deposits and withdrawals can indicate cycling funds to create noise and obscure origin.,Churning is a common laundering ‘obfuscation’ behavior when combined with other signals.,abm.csv,"customer_id,amount_cad,debit_credit,transaction_datetime,cash_indicator",Measure alternation rate (C→D→C) and short inter-arrival times; flag churny behavior.,alternation_rate;median_interarrival;churn_index,"Some customers move cash for operational reasons (e.g., retail change).",,S_FFIEC_APP_F,2025-12-24
ABM_CASH_007,Cash activity spikes soon after onboarding,Lifecycle anomaly,Placement,A new account shows unusually high cash activity shortly after onboarding compared to typical new customers.,"Burner/mule/front accounts are often used intensely early, then abandoned.",kyc_individual.csv/kyc_smallbusiness.csv + abm.csv,"customer_id,onboard_date,transaction_datetime,amount_cad,debit_credit,cash_indicator",Compute cash sums in days 0–7/0–30 post-onboarding; compare to peers; flag early-life cash intensity.,cash_sum_0_7d;cash_sum_0_30d;days_to_first_cash_txn;early_life_share,Legitimate business launch; moving cities; initial setup costs.,,S_FATF_PML_2018|S_FINTRAC_IND_FE,2025-12-24
ABM_CASH_008,Dormant → cash burst → dormant,Lifecycle anomaly,Placement/Layering,Long inactivity followed by a sharp cash burst and then inactivity again can match temporary laundering ‘runs’.,Short-lived laundering campaigns may activate accounts briefly then discard them.,abm.csv,"customer_id,transaction_datetime,amount_cad,debit_credit,cash_indicator","Use rolling volume to identify low-activity periods, a spike, then a drop; score spike-then-drop.",max_gap_days;spike_then_drop_score;active_days_90d,Seasonal businesses; infrequent users.,,S_FATF_PML_2018|S_FINTRAC_IND_FE,2025-12-24
ABM_CASH_009,Cash transactions at unusual times (night activity),Temporal anomaly,Placement/Layering,Cash activity heavily concentrated at late-night hours compared to customer baseline can be suspicious.,"OCG activity may be scheduled to reduce detection/attention, especially when combined with other red flags.",abm.csv,"customer_id,transaction_datetime,amount_cad,cash_indicator",Compute night_share and change-point vs baseline; flag large shifts.,night_share;circadian_shift_score;max_txn_1h_night,Shift workers; nightlife businesses; travel.,,S_FFIEC_APP_F|S_FINTRAC_IND_FE,2025-12-24
ABM_CASH_010,Cash activity across multiple cities/provinces in short time,Geographic anomaly,Layering,Cash transactions spread across multiple locations in a short window may indicate coordinated mule networks or travel inconsistent with profile.,OCGs may distribute withdrawals/deposits geographically to frustrate tracing.,abm.csv + kyc tables,"customer_id,country,province,city,transaction_datetime,cash_indicator",Compute distinct cities/provinces per 7d/30d; compare to baseline; flag rapid dispersion.,distinct_cities_7d;distinct_provinces_30d;geo_dispersion_score,Legitimate travel; multi-site businesses.,A distance metric improves precision (requires geocoding).,S_FFIEC_APP_F|S_FATF_PML_2018,2025-12-24
