customer_id,country,province,city,gender,marital_status,occupation_code,income,birth_date,onboard_date
SYNID0100000167,CA,ON,TORONTO,,Married,10019,48886.0,1972-01-30,2011-09-20
SYNID0100000431,CA,,other,FEMALE,Married,72310,,1988-03-20,2018-06-04
SYNID0100000485,CA,ON,BRAMPTON,FEMALE,Widowed,RETIRED,19998.0,1935-05-02,1997-07-12
SYNID0100000539,CA,,other,MALE,Widowed,RETIRED,39417.0,1944-11-04,1985-05-14
SYNID0100000932,CA,ON,TORONTO,FEMALE,Married,RETIRED,34182.0,1963-09-14,2012-07-09
SYNID0100001185,CA,AB,EDMONTON,FEMALE,Married,UNEMPLOYED,29525.0,1958-04-21,2009-06-25
SYNID0100001300,CA,AB,CALGARY,FEMALE,Single,RETIRED,15277.0,1958-01-20,1992-08-04
SYNID0100001310,CA,,other,FEMALE,Single,SELF_EMPLOYED,53501.0,1974-01-10,2015-09-28
SYNID0100001952,CA,ON,SUDBURY,FEMALE,Single,70010,,1997-09-10,2014-12-28
SYNID0100002045,CA,ON,KINGSTON,MALE,,RETIRED,56863.0,1958-09-24,2000-04-28
SYNID0100002163,CA,,other,FEMALE,Married,RETIRED,118812.0,1948-11-20,2000-12-19
SYNID0100002187,CA,,other,FEMALE,Single,UNEMPLOYED,8523.0,1986-05-21,2004-03-09
SYNID0100002198,CA,AB,LEDUC,FEMALE,Married,UNEMPLOYED,,,2022-12-03
SYNID0100002385,CA,ON,MISSISSAUGA,FEMALE,Single,OTHER,40359.0,1998-09-18,2017-10-28
SYNID0100002875,CA,,other,FEMALE,Married,RETIRED,8962.0,1953-01-14,2011-01-23
SYNID0100003249,CA,,other,MALE,Married,75200,42352.0,1992-10-28,2019-08-06
SYNID0100003319,CA,ON,BARRIE,MALE,Single,UNEMPLOYED,15.0,2007-04-14,
SYNID0100003755,CA,ON,WOODBRIDGE,MALE,Unknown,STUDENT,,1994-08-03,2023-07-17
SYNID0100004490,CA,BC,SURREY,MALE,Married,14100,49604.0,1992-08-19,2021-11-10
SYNID0100004580,CA,ON,ST CATHARINES,MALE,Single,63101,164821.0,1985-01-06,1996-04-07
SYNID0100004593,CA,ON,CARLETON PLACE,MALE,Married,UNEMPLOYED,19594.0,1970-11-10,2021-02-08
SYNID0100004629,CA,ON,LONDON,MALE,,SELF_EMPLOYED,75937.0,1982-09-30,2000-04-23
SYNID0100004657,CA,ON,WINDSOR,FEMALE,Married,OTHER,36204.0,1980-03-29,2016-05-22
SYNID0100004837,CA,,other,MALE,Married,RETIRED,62283.0,1956-04-12,1984-07-11
SYNID0100004848,CA,,other,FEMALE,Unknown,STUDENT,,2004-03-22,2024-09-19
SYNID0100005297,CA,ON,MISSISSAUGA,MALE,,75200,115365.0,1975-01-18,2004-09-21
SYNID0100005641,CA,,other,MALE,,21321,131805.0,1970-02-02,2000-01-13
SYNID0100005686,CA,ON,SCARBOROUGH,MALE,Married,RETIRED,60670.0,1947-05-04,1992-09-18
SYNID0100005856,CA,ON,BRAMPTON,MALE,Married,RETIRED,16674.0,1930-11-24,1992-03-31
SYNID0100006155,CA,,other,FEMALE,Married,OTHER,,1959-11-29,1999-09-24
SYNID0100006219,CA,ON,MISSISSAUGA,MALE,Married,UNEMPLOYED,14.0,1970-08-13,2020-11-28
SYNID0100006262,CA,ON,GUELPH,MALE,Married,OTHER,,1987-03-27,2024-03-23
SYNID0100006348,CA,ON,MARKHAM,MALE,Married,OTHER,,1982-08-08,2021-12-26
SYNID0100006667,CA,,other,,Married,22220,22725.0,1980-12-24,2019-03-01
SYNID0100006800,CA,AB,other,MALE,Married,UNEMPLOYED,74771.0,1971-01-14,2013-06-23
SYNID0100006895,CA,,other,MALE,Single,UNEMPLOYED,14009.0,2004-04-11,2021-02-10
SYNID0100006941,CA,,other,MALE,Unknown,OTHER,,1973-08-31,2021-03-06
SYNID0100007436,CA,ON,BARRIE,,Single,STUDENT,,2004-06-16,2023-02-25
SYNID0100007570,CA,,other,MALE,Married,OTHER,33876.0,1989-10-09,2021-02-03
SYNID0100007620,CA,ON,BRAMPTON,FEMALE,Married,UNEMPLOYED,11.0,,2006-06-27
SYNID0100007638,CA,ON,THUNDER BAY,FEMALE,Unknown,UNEMPLOYED,,1996-06-16,2023-01-26
SYNID0100008358,CA,ON,TORONTO,MALE,Single,STUDENT,10.0,2007-11-05,2018-05-21
SYNID0100008611,CA,ON,MARKHAM,MALE,Unknown,60010,30279.0,1998-02-20,
SYNID0100008961,CA,QC,GATINEAU,MALE,Single,STUDENT,9.0,2004-01-16,2023-10-18
