customer_id,country,province,city,industry_code,employee_count,sales,established_date,onboard_date
SYNID0200000024,CA,ON,BRAMPTON,9699,5.0,181876.0,2022-12-09,2022-12-26
SYNID0200000050,CA,ON,TORONTO,4214,1.0,250009.0,1991-02-24,1996-06-17
SYNID0200000104,CA,AB,EDMONTON,7215,2.0,217904.0,2011-06-20,
SYNID0200000167,CA,,other,8649,1.0,0.0,2024-02-20,2024-11-27
SYNID0200000345,CA,,other,9861,,,2003-12-08,2003-12-18
SYNID0200000439,CA,ON,MISSISSAUGA,Other,,0.0,,2023-05-31
SYNID0200000596,CA,,other,4561,2.0,106568.0,2002-03-02,2003-11-30
SYNID0200000792,CA,ON,WOODSTOCK,Other,0.0,0.0,,2014-11-28
SYNID0200000948,CA,ON,MAPLE,7799,,0.0,2020-05-16,2020-12-17
SYNID0200000984,CA,,other,9962,8.880523660003009,1484594.0,2000-04-22,2001-08-01
SYNID0200001071,CA,,other,7771,1.0,59409.0,2006-03-25,2006-04-12
SYNID0200001467,CA,,other,9811,0.0,0.0,2011-09-14,2017-12-08
SYNID0200001746,CA,,other,7711,1.0,0.0,2017-04-04,2017-04-18
SYNID0200001747,CA,,other,7771,0.0,1.0,2012-03-11,2012-03-11
SYNID0200001811,CA,NS,HALIFAX,9811,1.0,78315.0,2010-04-29,2010-12-31
SYNID0200002106,CA,ON,SCARBOROUGH,2819,,530640.0,2018-11-20,2021-07-14
SYNID0200002118,CA,,other,Other,1.0,60125.0,2003-01-21,2003-08-24
SYNID0200002297,CA,ON,TORONTO,6131,,295579.0,1988-09-21,1996-03-17
SYNID0200002418,CA,,other,0139,1.0,,2001-11-23,2012-12-05
SYNID0200002455,CA,,other,Other,3.0,895672.0,1981-09-25,1982-03-15
SYNID0200002728,CA,ON,MISSISSAUGA,Other,3.0,857579.0,2002-11-09,2013-02-23
SYNID0200002991,CA,,other,4274,2.0,179082.0,2010-03-15,2012-07-08
SYNID0200003338,CA,,other,Other,0.0,1.0,2018-08-03,2019-04-13
SYNID0200003557,CA,,other,9861,6.18752112220236,232307.0,2023-07-11,2023-11-14
SYNID0200003663,CA,,other,4013,1.0,14515.0,2017-12-10,2017-12-24
