rank,customer_id,risk_score,customer_type,country,province,city,gender,marital_status,occupation_code,occupation_title,income,age_years,account_tenure_days,industry_code,industry,employee_count,sales,business_age_days,days_established_to_onboard,revenue_per_employee,income_occupation_flag,is_individual,emt_amt_sum,wire_count,wire_amt_sum,eft_debit_sum,cheque_count,card_foreign_rate,risk_flags,known_fraud
1,SYNID0200398398,0.9999945375534959,smallbusiness,CA,ON,KINGSTON,unknown,unknown,unknown,unknown,0.0,,3431.0,7771,Management Consulting Services,6.0,0.0,3528.0,97.0,0.0,0.0,0,104787.83,1.0,1071.08,3952.46,2.0,0.4448818897637795,employees but zero revenue; has wire transfers; high EMT volume (top 10%); 30%+ foreign card transactions,0
2,SYNID0105593361,0.9998540667126263,individual,CA,ON,TORONTO,FEMALE,Single,STUDENT,unknown,11.0,26.587268993839835,2641.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,928.47,0.0,0.0,243.26,0.0,0.19658119658119658,student,1
3,SYNID0200496670,0.9946951154320595,smallbusiness,CA,ON,NORTH YORK,unknown,unknown,unknown,unknown,0.0,,751.0,7599,Other Real Estate Operators,2.0,0.0,838.0,87.0,0.0,0.0,0,0.0,0.0,0.0,173528.75999999998,27.0,0.0,employees but zero revenue; high EFT outflows (top 10%); high cheque activity (top 10%),1
4,SYNID0100957188,0.9903452828183845,individual,CA,unknown,other,unknown,Single,STUDENT,unknown,8.0,26.327173169062284,6178.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,17056.85,0.0,0.0,0.0,0.0,0.5,student; high EMT volume (top 10%); 30%+ foreign card transactions,1
5,SYNID0107334515,0.9831592274363202,individual,CA,ON,CAMBRIDGE,FEMALE,unknown,STUDENT,unknown,0.0,25.188227241615333,2462.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,3927.0899999999992,1.0,1109.95,2065.3500000000004,0.0,0.21296296296296297,student; has wire transfers,1
6,SYNID0200187014,0.9820558791558593,smallbusiness,CA,AB,EDMONTON,unknown,unknown,unknown,unknown,0.0,,506.0,7761,Offices of Lawyers and Notaries,1.0,0.0,531.0,25.0,0.0,0.0,0,2339.45,0.0,0.0,0.0,0.0,0.37037037037037035,onboarded <30 days after business founding; employees but zero revenue; 30%+ foreign card transactions,1
7,SYNID0200755574,0.9812308908613802,smallbusiness,CA,ON,OAKVILLE,unknown,unknown,unknown,unknown,0.0,,,7215,Holding Companies,0.0,540611.0,8375.0,,0.0,0.0,0,13558.73,0.0,0.0,5866.28,5.0,0.4716981132075472,high EMT volume (top 10%); high EFT outflows (top 10%); 30%+ foreign card transactions,1
8,SYNID0101421130,0.9791133173696475,individual,CA,ON,TORONTO,MALE,Single,UNEMPLOYED,unknown,112074.0,35.98904859685147,2195.0,unknown,unknown,0.0,0.0,0.0,,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,high income for occupation; unemployed; 30%+ foreign card transactions,1
9,SYNID0104859272,0.8901453201076877,individual,CA,MB,WINNIPEG,MALE,Unknown,STUDENT,unknown,0.0,23.32101300479124,1326.0,unknown,unknown,0.0,0.0,0.0,,0.0,0.0,1,6717.9,1.0,429.68,0.0,0.0,0.125,student; has wire transfers,0
10,SYNID0200255716,0.879118011512116,smallbusiness,CA,ON,TORONTO,unknown,unknown,unknown,unknown,0.0,,7324.0,0139,Other Field Crop Farms,1.0,113494.0,6891.0,-433.0,113494.0,0.0,0,0.0,0.0,0.0,4008.36,4.0,1.0,onboarded <30 days after business founding; 30%+ foreign card transactions,0
